NGPLIV 20250509-153426_A1_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
5.429293E-1	-3.659034E-3	-7.318068E-4	-1.986597E-6
5.333333E-1	-3.739561E-3	-7.479123E-4	-1.994433E-6
5.237374E-1	-3.360429E-3	-6.720859E-4	-1.759983E-6
5.141414E-1	-3.209998E-3	-6.419996E-4	-1.650393E-6
5.045455E-1	-3.375334E-3	-6.750667E-4	-1.703009E-6
4.949495E-1	-3.210742E-3	-6.421485E-4	-1.589155E-6
4.853535E-1	-2.858701E-3	-5.717402E-4	-1.387481E-6
4.757576E-1	-2.788799E-3	-5.577597E-4	-1.326792E-6
4.661616E-1	-2.863860E-3	-5.727721E-4	-1.335022E-6
4.565657E-1	-2.713943E-3	-5.427886E-4	-1.239093E-6
4.469697E-1	-2.542027E-3	-5.084053E-4	-1.136209E-6
4.373737E-1	-2.340562E-3	-4.681125E-4	-1.023701E-6
4.277778E-1	-2.297862E-3	-4.595724E-4	-9.829743E-7
4.181818E-1	-2.115364E-3	-4.230729E-4	-8.846070E-7
4.085859E-1	-2.164166E-3	-4.328332E-4	-8.842476E-7
3.989899E-1	-2.089720E-3	-4.179439E-4	-8.337770E-7
3.893939E-1	-1.842327E-3	-3.684655E-4	-7.173912E-7
3.797980E-1	-1.809799E-3	-3.619598E-4	-6.873580E-7
3.702020E-1	-1.824614E-3	-3.649227E-4	-6.754756E-7
3.606061E-1	-1.756975E-3	-3.513949E-4	-6.335757E-7
3.510101E-1	-1.606175E-3	-3.212351E-4	-5.637838E-7
3.414141E-1	-1.519768E-3	-3.039537E-4	-5.188705E-7
3.318182E-1	-1.464694E-3	-2.929388E-4	-4.860121E-7
3.222222E-1	-1.500096E-3	-3.000193E-4	-4.833644E-7
3.126263E-1	-1.459940E-3	-2.919880E-4	-4.564156E-7
3.030303E-1	-1.291480E-3	-2.582960E-4	-3.913576E-7
2.934343E-1	-1.125404E-3	-2.250808E-4	-3.302322E-7
2.838384E-1	-1.127762E-3	-2.255525E-4	-3.201023E-7
2.742424E-1	-1.038509E-3	-2.077018E-4	-2.848032E-7
2.646465E-1	-9.817720E-4	-1.963544E-4	-2.598225E-7
2.550505E-1	-9.854110E-4	-1.970822E-4	-2.513296E-7
2.454545E-1	-9.166085E-4	-1.833217E-4	-2.249857E-7
2.358586E-1	-9.017395E-4	-1.803479E-4	-2.126830E-7
2.262626E-1	-7.950665E-4	-1.590133E-4	-1.798938E-7
2.166667E-1	-7.231090E-4	-1.446218E-4	-1.566736E-7
2.070707E-1	-6.734150E-4	-1.346830E-4	-1.394445E-7
1.974747E-1	-6.694755E-4	-1.338951E-4	-1.322045E-7
1.878788E-1	-6.653240E-4	-1.330648E-4	-1.250003E-7
1.782828E-1	-5.706285E-4	-1.141257E-4	-1.017333E-7
1.686869E-1	-5.390095E-4	-1.078019E-4	-9.092382E-8
1.590909E-1	-4.267860E-4	-8.535721E-5	-6.789778E-8
1.494949E-1	-4.498276E-4	-8.996552E-5	-6.724695E-8
1.398990E-1	-4.120352E-4	-8.240705E-5	-5.764332E-8
1.303030E-1	-3.990292E-4	-7.980584E-5	-5.199471E-8
1.207071E-1	-3.641393E-4	-7.282786E-5	-4.395419E-8
1.111111E-1	-2.415125E-4	-4.830251E-5	-2.683473E-8
1.015152E-1	-2.042639E-4	-4.085279E-5	-2.073589E-8
9.191919E-2	-1.870068E-4	-3.740137E-5	-1.718952E-8
8.232323E-2	-1.711571E-4	-3.423142E-5	-1.409021E-8
7.272727E-2	-1.526462E-4	-3.052925E-5	-1.110155E-8
6.313131E-2	-1.340235E-4	-2.680470E-5	-8.461080E-9
5.353535E-2	-1.255650E-4	-2.511301E-5	-6.722169E-9
4.393939E-2	-1.164436E-4	-2.328872E-5	-5.116461E-9
3.434343E-2	-1.072402E-4	-2.144804E-5	-3.682997E-9
2.474747E-2	-9.859240E-5	-1.971848E-5	-2.439913E-9
1.515152E-2	-9.013165E-5	-1.802633E-5	-1.365631E-9
5.555556E-3	-8.149960E-5	-1.629992E-5	-4.527756E-10
-4.040404E-3	-7.292385E-5	-1.458477E-5	2.946418E-10
-1.363636E-2	-6.384990E-5	-1.276998E-5	8.706805E-10
-2.323232E-2	-5.392940E-5	-1.078588E-5	1.252905E-9
-3.282828E-2	-4.463822E-5	-8.927644E-6	1.465396E-9
-4.242424E-2	-3.357831E-5	-6.715663E-6	1.424535E-9
-5.202020E-2	-1.992885E-5	-3.985771E-6	1.036703E-9
-6.161616E-2	-6.838925E-6	-1.367785E-6	4.213883E-10
-7.121212E-2	9.556665E-6	1.911333E-6	-6.805504E-10
-8.080808E-2	2.863903E-5	5.727807E-6	-2.314265E-9
-9.040404E-2	5.092870E-5	1.018574E-5	-4.604160E-9
-1.000000E-1	7.855895E-5	1.571179E-5	-7.855895E-9
*** END of Data

0.2000	Area [cm2]
-0.0001	Jsc [mA/cm2]
-0.0656	Voc [V]
0.2918	Fill Factor
Inf	Efficiency [%]
0.0	Source Irradiance [mW/cm2]
10.0	Voltage Settling Time [ms]
A1_1	Device ID
