NGPLIV 20250509-153426_A1_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
8.500000E-1	-7.029060E-3	-1.405812E-3	-5.974701E-6
8.404040E-1	-7.060985E-3	-1.412197E-3	-5.934080E-6
8.308081E-1	-6.591250E-3	-1.318250E-3	-5.476064E-6
8.212121E-1	-6.616140E-3	-1.323228E-3	-5.433254E-6
8.116162E-1	-6.311520E-3	-1.262304E-3	-5.122532E-6
8.020202E-1	-6.044475E-3	-1.208895E-3	-4.847791E-6
7.924242E-1	-6.549835E-3	-1.309967E-3	-5.190248E-6
7.828283E-1	-6.436830E-3	-1.287366E-3	-5.038933E-6
7.732323E-1	-5.823695E-3	-1.164739E-3	-4.503069E-6
7.636364E-1	-6.139795E-3	-1.227959E-3	-4.688571E-6
7.540404E-1	-5.917840E-3	-1.183568E-3	-4.462290E-6
7.444444E-1	-5.951305E-3	-1.190261E-3	-4.430416E-6
7.348485E-1	-5.711815E-3	-1.142363E-3	-4.197319E-6
7.252525E-1	-5.553450E-3	-1.110690E-3	-4.027654E-6
7.156566E-1	-5.597925E-3	-1.119585E-3	-4.006192E-6
7.060606E-1	-5.391740E-3	-1.078348E-3	-3.806895E-6
6.964646E-1	-5.365555E-3	-1.073111E-3	-3.736919E-6
6.868687E-1	-5.266135E-3	-1.053227E-3	-3.617143E-6
6.772727E-1	-5.634715E-3	-1.126943E-3	-3.816239E-6
6.676768E-1	-5.193545E-3	-1.038709E-3	-3.467609E-6
6.580808E-1	-5.106950E-3	-1.021390E-3	-3.360786E-6
6.484848E-1	-5.236375E-3	-1.047275E-3	-3.395710E-6
6.388889E-1	-5.079885E-3	-1.015977E-3	-3.245482E-6
6.292929E-1	-4.974984E-3	-9.949968E-4	-3.130722E-6
6.196970E-1	-4.852274E-3	-9.704549E-4	-3.006940E-6
6.101010E-1	-4.767629E-3	-9.535258E-4	-2.908735E-6
6.005051E-1	-4.633885E-3	-9.267770E-4	-2.782671E-6
5.909091E-1	-4.352234E-3	-8.704469E-4	-2.571775E-6
5.813131E-1	-4.266464E-3	-8.532929E-4	-2.480152E-6
5.717172E-1	-4.260567E-3	-8.521134E-4	-2.435839E-6
5.621212E-1	-3.980861E-3	-7.961722E-4	-2.237726E-6
5.525253E-1	-4.018660E-3	-8.037321E-4	-2.220411E-6
