NGPLIV 20250509-153817_A1_4.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
2.000000E+0	-2.621638E+1	-5.243276E+0	-5.243276E-2
1.978788E+0	-1.591151E+1	-3.182302E+0	-3.148550E-2
1.957576E+0	-1.144261E+1	-2.288522E+0	-2.239978E-2
1.936364E+0	-1.039134E+1	-2.078269E+0	-2.012142E-2
1.915152E+0	-9.636075E+0	-1.927215E+0	-1.845454E-2
1.893939E+0	-9.243070E+0	-1.848614E+0	-1.750581E-2
1.872727E+0	-8.779085E+0	-1.755817E+0	-1.644083E-2
1.851515E+0	-8.487685E+0	-1.697537E+0	-1.571508E-2
1.830303E+0	-8.162100E+0	-1.632420E+0	-1.493912E-2
1.809091E+0	-7.956945E+0	-1.591389E+0	-1.439484E-2
1.787879E+0	-7.770190E+0	-1.554038E+0	-1.389216E-2
1.766667E+0	-7.408640E+0	-1.481728E+0	-1.308860E-2
1.745455E+0	-7.240810E+0	-1.448162E+0	-1.263850E-2
1.724242E+0	-6.979210E+0	-1.395842E+0	-1.203385E-2
1.703030E+0	-6.662735E+0	-1.332547E+0	-1.134684E-2
1.681818E+0	-6.484445E+0	-1.296889E+0	-1.090566E-2
1.660606E+0	-6.178945E+0	-1.235789E+0	-1.026079E-2
1.639394E+0	-5.950215E+0	-1.190043E+0	-9.754746E-3
1.618182E+0	-5.726845E+0	-1.145369E+0	-9.267076E-3
1.596970E+0	-5.543330E+0	-1.108666E+0	-8.852530E-3
1.575758E+0	-5.337620E+0	-1.067524E+0	-8.410795E-3
1.554545E+0	-5.174085E+0	-1.034817E+0	-8.043350E-3
1.533333E+0	-4.984473E+0	-9.968946E-1	-7.642859E-3
1.512121E+0	-4.751800E+0	-9.503600E-1	-7.185298E-3
1.490909E+0	-4.602131E+0	-9.204262E-1	-6.861359E-3
1.469697E+0	-4.437726E+0	-8.875452E-1	-6.522112E-3
1.448485E+0	-4.282855E+0	-8.565710E-1	-6.203651E-3
1.427273E+0	-4.106340E+0	-8.212680E-1	-5.860867E-3
1.406061E+0	-3.911669E+0	-7.823338E-1	-5.500044E-3
1.384848E+0	-3.784941E+0	-7.569881E-1	-5.241569E-3
1.363636E+0	-3.631582E+0	-7.263164E-1	-4.952157E-3
1.342424E+0	-3.499959E+0	-6.999918E-1	-4.698430E-3
1.321212E+0	-3.348183E+0	-6.696366E-1	-4.423660E-3
1.300000E+0	-3.214783E+0	-6.429566E-1	-4.179218E-3
1.278788E+0	-3.096405E+0	-6.192811E-1	-3.959646E-3
1.257576E+0	-2.977000E+0	-5.954001E-1	-3.743804E-3
1.236364E+0	-2.863568E+0	-5.727137E-1	-3.540412E-3
1.215152E+0	-2.731373E+0	-5.462746E-1	-3.319032E-3
1.193939E+0	-2.624459E+0	-5.248918E-1	-3.133445E-3
1.172727E+0	-2.507150E+0	-5.014300E-1	-2.940203E-3
1.151515E+0	-2.403325E+0	-4.806650E-1	-2.767465E-3
1.130303E+0	-2.306031E+0	-4.612062E-1	-2.606514E-3
1.109091E+0	-2.208435E+0	-4.416870E-1	-2.449355E-3
1.087879E+0	-2.104842E+0	-4.209683E-1	-2.289812E-3
1.066667E+0	-1.999885E+0	-3.999771E-1	-2.133211E-3
1.045455E+0	-1.923021E+0	-3.846042E-1	-2.010431E-3
1.024242E+0	-1.831592E+0	-3.663184E-1	-1.875994E-3
1.003030E+0	-1.752415E+0	-3.504831E-1	-1.757726E-3
9.818182E-1	-1.667194E+0	-3.334388E-1	-1.636881E-3
9.606061E-1	-1.587170E+0	-3.174341E-1	-1.524646E-3
9.393939E-1	-1.511181E+0	-3.022363E-1	-1.419595E-3
9.181818E-1	-1.448727E+0	-2.897454E-1	-1.330195E-3
8.969697E-1	-1.379608E+0	-2.759217E-1	-1.237467E-3
8.757576E-1	-1.312166E+0	-2.624332E-1	-1.149139E-3
8.545455E-1	-1.244891E+0	-2.489782E-1	-1.063816E-3
8.333333E-1	-1.178570E+0	-2.357139E-1	-9.821413E-4
8.121212E-1	-1.116986E+0	-2.233972E-1	-9.071280E-4
7.909091E-1	-1.049922E+0	-2.099844E-1	-8.303929E-4
7.696970E-1	-1.005162E+0	-2.010325E-1	-7.736705E-4
7.484848E-1	-9.390755E-1	-1.878151E-1	-7.028838E-4
7.272727E-1	-8.799655E-1	-1.759931E-1	-6.399749E-4
7.060606E-1	-8.296480E-1	-1.659296E-1	-5.857818E-4
6.848485E-1	-7.917200E-1	-1.583440E-1	-5.422082E-4
6.636364E-1	-7.358080E-1	-1.471616E-1	-4.883089E-4
6.424242E-1	-6.926245E-1	-1.385249E-1	-4.449588E-4
6.212121E-1	-6.481540E-1	-1.296308E-1	-4.026411E-4
6.000000E-1	-6.092040E-1	-1.218408E-1	-3.655224E-4
5.787879E-1	-5.684460E-1	-1.136892E-1	-3.290097E-4
5.575758E-1	-5.398485E-1	-1.079697E-1	-3.010064E-4
5.363636E-1	-4.977408E-1	-9.954816E-2	-2.669701E-4
5.151515E-1	-4.599972E-1	-9.199944E-2	-2.369683E-4
4.939394E-1	-4.182823E-1	-8.365646E-2	-2.066061E-4
4.727273E-1	-4.167801E-1	-8.335602E-2	-1.970233E-4
4.515152E-1	-3.873507E-1	-7.747014E-2	-1.748947E-4
4.303030E-1	-3.515355E-1	-7.030711E-2	-1.512668E-4
4.090909E-1	-3.042055E-1	-6.084111E-2	-1.244477E-4
3.878788E-1	-2.772377E-1	-5.544754E-2	-1.075346E-4
3.666667E-1	-2.616412E-1	-5.232824E-2	-9.593511E-5
3.454545E-1	-2.528842E-1	-5.057685E-2	-8.736001E-5
3.242424E-1	-3.830063E-1	-7.660127E-2	-1.241869E-4
3.030303E-1	-3.317743E-1	-6.635486E-2	-1.005377E-4
2.818182E-1	-2.595355E-1	-5.190709E-2	-7.314181E-5
2.606061E-1	-2.359142E-1	-4.718284E-2	-6.148067E-5
2.393939E-1	-2.446977E-1	-4.893955E-2	-5.857916E-5
2.181818E-1	-2.094898E-1	-4.189797E-2	-4.570688E-5
1.969697E-1	-2.277170E-1	-4.554341E-2	-4.485336E-5
1.757576E-1	-2.626530E-1	-5.253061E-2	-4.616326E-5
1.545455E-1	-2.004504E-1	-4.009007E-2	-3.097869E-5
1.333333E-1	-1.712931E-1	-3.425863E-2	-2.283909E-5
1.121212E-1	-1.758589E-1	-3.517179E-2	-1.971752E-5
9.090909E-2	-1.499937E-1	-2.999873E-2	-1.363579E-5
6.969697E-2	-1.141505E-1	-2.283010E-2	-7.955944E-6
4.848485E-2	-8.282675E-2	-1.656535E-2	-4.015842E-6
2.727273E-2	-4.651864E-2	-9.303729E-3	-1.268690E-6
6.060606E-3	-9.371540E-3	-1.874308E-3	-5.679721E-8
-1.515152E-2	3.413374E-2	6.826748E-3	-5.171779E-7
-3.636364E-2	1.502414E-1	3.004829E-2	-5.463325E-6
-5.757576E-2	2.863833E-2	5.727666E-3	-1.648874E-6
-7.878788E-2	4.095486E-2	8.190972E-3	-3.226747E-6
-1.000000E-1	5.987625E-2	1.197525E-2	-5.987625E-6
*** END of Data

0.2000	Area [cm2]
0.0031	Jsc [mA/cm2]
0.0015	Voc [V]
-12.4525	Fill Factor
-Inf	Efficiency [%]
0.0	Source Irradiance [mW/cm2]
10.0	Voltage Settling Time [ms]
A1_4	Device ID
