NGPLIV 20250509-153716_A1_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
3.030303E-1	-4.704320E-3	-9.408640E-4	-1.425552E-6
2.818182E-1	-4.308262E-3	-8.616523E-4	-1.214146E-6
2.606061E-1	-3.754882E-3	-7.509765E-4	-9.785451E-7
2.393939E-1	-3.518099E-3	-7.036198E-4	-8.422116E-7
2.181818E-1	-2.905636E-3	-5.811273E-4	-6.339571E-7
1.969697E-1	-2.382776E-3	-4.765552E-4	-4.693347E-7
1.757576E-1	-1.956488E-3	-3.912977E-4	-3.438677E-7
1.545455E-1	-1.668312E-3	-3.336625E-4	-2.578301E-7
1.333333E-1	-1.393300E-3	-2.786600E-4	-1.857733E-7
1.121212E-1	-1.131569E-3	-2.263139E-4	-1.268729E-7
9.090909E-2	-8.953565E-4	-1.790713E-4	-8.139605E-8
6.969697E-2	-6.716455E-4	-1.343291E-4	-4.681166E-8
4.848485E-2	-4.528240E-4	-9.056480E-5	-2.195510E-8
2.727273E-2	-2.746967E-4	-5.493934E-5	-7.491728E-9
6.060606E-3	-9.330830E-5	-1.866166E-5	-5.655048E-10
-1.515152E-2	8.890340E-5	1.778068E-5	-1.347021E-9
-3.636364E-2	2.654188E-4	5.308376E-5	-9.651593E-9
-5.757576E-2	4.562027E-4	9.124054E-5	-2.626622E-8
-7.878788E-2	6.719295E-4	1.343859E-4	-5.293990E-8
-1.000000E-1	8.785650E-4	1.757130E-4	-8.785650E-8
*** END of Data

0.2000	Area [cm2]
-0.0000	Jsc [mA/cm2]
-0.0048	Voc [V]
-2.8551	Fill Factor
-Inf	Efficiency [%]
0.0	Source Irradiance [mW/cm2]
10.0	Voltage Settling Time [ms]
A1_1	Device ID
