NGPLIV 20250509-153716_A1_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
2.000000E+0	-1.971288E-1	-3.942576E-2	-3.942576E-4
1.978788E+0	-2.158278E-1	-4.316556E-2	-4.270774E-4
1.957576E+0	-3.347459E-1	-6.694919E-2	-6.552906E-4
1.936364E+0	-2.469653E-1	-4.939307E-2	-4.782147E-4
1.915152E+0	-3.735464E-1	-7.470928E-2	-7.153980E-4
1.893939E+0	-3.573554E-1	-7.147108E-2	-6.768095E-4
1.872727E+0	-2.928135E-1	-5.856271E-2	-5.483599E-4
1.851515E+0	-2.628148E-1	-5.256297E-2	-4.866057E-4
1.830303E+0	-2.451940E-1	-4.903881E-2	-4.487794E-4
1.809091E+0	-2.303835E-1	-4.607671E-2	-4.167848E-4
1.787879E+0	-2.272591E-1	-4.545183E-2	-4.063118E-4
1.766667E+0	-2.313006E-1	-4.626012E-2	-4.086311E-4
1.745455E+0	-2.459298E-1	-4.918597E-2	-4.292594E-4
1.724242E+0	-2.297043E-1	-4.594087E-2	-3.960660E-4
1.703030E+0	-2.062240E-1	-4.124480E-2	-3.512057E-4
1.681818E+0	-2.020867E-1	-4.041735E-2	-3.398732E-4
1.660606E+0	-2.088737E-1	-4.177474E-2	-3.468569E-4
1.639394E+0	-1.916689E-1	-3.833378E-2	-3.142208E-4
1.618182E+0	-1.821462E-1	-3.642925E-2	-2.947457E-4
1.596970E+0	-1.708526E-1	-3.417052E-2	-2.728464E-4
1.575758E+0	-1.656957E-1	-3.313914E-2	-2.610963E-4
1.554545E+0	-1.605196E-1	-3.210393E-2	-2.495351E-4
1.533333E+0	-1.579022E-1	-3.158044E-2	-2.421167E-4
1.512121E+0	-1.451047E-1	-2.902094E-2	-2.194159E-4
1.490909E+0	-1.416534E-1	-2.833067E-2	-2.111923E-4
1.469697E+0	-1.377278E-1	-2.754556E-2	-2.024181E-4
1.448485E+0	-1.149355E-1	-2.298709E-2	-1.664823E-4
1.427273E+0	-1.083748E-1	-2.167497E-2	-1.546805E-4
1.406061E+0	-1.047162E-1	-2.094324E-2	-1.472373E-4
1.384848E+0	-1.023503E-1	-2.047007E-2	-1.417397E-4
1.363636E+0	-9.828990E-2	-1.965798E-2	-1.340317E-4
1.342424E+0	-9.421745E-2	-1.884349E-2	-1.264798E-4
1.321212E+0	-8.826610E-2	-1.765322E-2	-1.166182E-4
1.300000E+0	-8.593245E-2	-1.718649E-2	-1.117122E-4
1.278788E+0	-8.154340E-2	-1.630868E-2	-1.042767E-4
1.257576E+0	-7.682220E-2	-1.536444E-2	-9.660974E-5
1.236364E+0	-7.468150E-2	-1.493630E-2	-9.233349E-5
1.215152E+0	-7.309915E-2	-1.461983E-2	-8.882654E-5
1.193939E+0	-7.128675E-2	-1.425735E-2	-8.511206E-5
1.172727E+0	-6.791725E-2	-1.358345E-2	-7.964841E-5
1.151515E+0	-6.589515E-2	-1.317903E-2	-7.587926E-5
1.130303E+0	-6.296850E-2	-1.259370E-2	-7.117349E-5
1.109091E+0	-6.031115E-2	-1.206223E-2	-6.689055E-5
1.087879E+0	-5.861770E-2	-1.172354E-2	-6.376895E-5
1.066667E+0	-5.383550E-2	-1.076710E-2	-5.742453E-5
1.045455E+0	-5.413370E-2	-1.082674E-2	-5.659432E-5
1.024242E+0	-5.236705E-2	-1.047341E-2	-5.363655E-5
1.003030E+0	-5.141610E-2	-1.028322E-2	-5.157191E-5
9.818182E-1	-4.726494E-2	-9.452989E-3	-4.640558E-5
9.606061E-1	-4.523970E-2	-9.047940E-3	-4.345753E-5
9.393939E-1	-4.271294E-2	-8.542589E-3	-4.012428E-5
9.181818E-1	-4.057989E-2	-8.115978E-3	-3.725972E-5
8.969697E-1	-3.837056E-2	-7.674112E-3	-3.441723E-5
8.757576E-1	-3.649365E-2	-7.298730E-3	-3.195959E-5
8.545455E-1	-3.416446E-2	-6.832892E-3	-2.919508E-5
8.333333E-1	-3.251312E-2	-6.502624E-3	-2.709427E-5
8.121212E-1	-3.121302E-2	-6.242603E-3	-2.534875E-5
7.909091E-1	-2.969864E-2	-5.939728E-3	-2.348892E-5
7.696970E-1	-2.834458E-2	-5.668915E-3	-2.181673E-5
7.484848E-1	-2.684875E-2	-5.369749E-3	-2.009588E-5
7.272727E-1	-2.520174E-2	-5.040348E-3	-1.832854E-5
7.060606E-1	-2.342664E-2	-4.685328E-3	-1.654063E-5
6.848485E-1	-2.229724E-2	-4.459448E-3	-1.527023E-5
6.636364E-1	-2.097267E-2	-4.194534E-3	-1.391823E-5
6.424242E-1	-1.955897E-2	-3.911795E-3	-1.256516E-5
6.212121E-1	-1.840887E-2	-3.681774E-3	-1.143581E-5
6.000000E-1	-1.721429E-2	-3.442859E-3	-1.032858E-5
5.787879E-1	-1.622600E-2	-3.245201E-3	-9.391415E-6
5.575758E-1	-1.506134E-2	-3.012268E-3	-8.397838E-6
5.363636E-1	-1.402626E-2	-2.805253E-3	-7.523178E-6
5.151515E-1	-1.305934E-2	-2.611869E-3	-6.727541E-6
4.939394E-1	-1.216316E-2	-2.432632E-3	-6.007864E-6
4.727273E-1	-1.118404E-2	-2.236808E-3	-5.287001E-6
4.515152E-1	-1.015979E-2	-2.031958E-3	-4.587299E-6
4.303030E-1	-9.483350E-3	-1.896670E-3	-4.080714E-6
4.090909E-1	-8.589500E-3	-1.717900E-3	-3.513886E-6
3.878788E-1	-7.945795E-3	-1.589159E-3	-3.082005E-6
3.666667E-1	-7.248745E-3	-1.449749E-3	-2.657873E-6
3.454545E-1	-6.419735E-3	-1.283947E-3	-2.217727E-6
3.242424E-1	-5.763740E-3	-1.152748E-3	-1.868849E-6
