NGPLIV 20250509-154057_A2_3.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
1.121212E-1	-1.318143E-3	-2.636287E-4	-1.477918E-7
9.090909E-2	-1.076547E-3	-2.153093E-4	-9.786786E-8
6.969697E-2	-8.009560E-4	-1.601912E-4	-5.582421E-8
4.848485E-2	-5.752100E-4	-1.150420E-4	-2.788897E-8
2.727273E-2	-3.568439E-4	-7.136878E-5	-9.732106E-9
6.060606E-3	-1.454356E-4	-2.908713E-5	-8.814282E-10
-1.515152E-2	7.857880E-5	1.571576E-5	-1.190588E-9
-3.636364E-2	2.914607E-4	5.829214E-5	-1.059857E-8
-5.757576E-2	6.370675E-4	1.274135E-4	-3.667964E-8
-7.878788E-2	8.256345E-4	1.651269E-4	-6.504999E-8
-1.000000E-1	1.111157E-3	2.222315E-4	-1.111158E-7
*** END of Data

0.2000	Area [cm2]
-0.0001	Jsc [mA/cm2]
-0.0077	Voc [V]
-1.4038	Fill Factor
-Inf	Efficiency [%]
0.0	Source Irradiance [mW/cm2]
10.0	Voltage Settling Time [ms]
A2_3	Device ID
