NGPLIV 20250509-153958_A2_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
2.000000E+0	-4.955736E+2	-9.911472E+1	-9.911472E-1
1.978788E+0	-4.933684E+2	-9.867368E+1	-9.762714E-1
1.957576E+0	-4.893539E+2	-9.787078E+1	-9.579473E-1
1.936364E+0	-4.851930E+2	-9.703860E+1	-9.395101E-1
1.915152E+0	-4.809449E+2	-9.618898E+1	-9.210824E-1
1.893939E+0	-4.760572E+2	-9.521145E+1	-9.016236E-1
1.872727E+0	-4.709646E+2	-9.419292E+1	-8.819883E-1
1.851515E+0	-4.658506E+2	-9.317012E+1	-8.625294E-1
1.830303E+0	-4.605403E+2	-9.210806E+1	-8.429283E-1
1.809091E+0	-4.551510E+2	-9.103021E+1	-8.234096E-1
1.787879E+0	-4.494950E+2	-8.989900E+1	-8.036426E-1
1.766667E+0	-4.436811E+2	-8.873622E+1	-7.838366E-1
1.745455E+0	-4.382263E+2	-8.764526E+1	-7.649041E-1
1.724242E+0	-4.300589E+2	-8.601178E+1	-7.415258E-1
1.703030E+0	-4.255955E+2	-8.511911E+1	-7.248021E-1
1.681818E+0	-4.209223E+2	-8.418447E+1	-7.079149E-1
1.660606E+0	-4.159309E+2	-8.318617E+1	-6.906973E-1
1.639394E+0	-4.099886E+2	-8.199772E+1	-6.721328E-1
1.618182E+0	-4.022699E+2	-8.045398E+1	-6.509458E-1
1.596970E+0	-3.948008E+2	-7.896017E+1	-6.304850E-1
1.575758E+0	-3.899413E+2	-7.798826E+1	-6.144530E-1
1.554545E+0	-3.843321E+2	-7.686642E+1	-5.974617E-1
1.533333E+0	-3.775024E+2	-7.550047E+1	-5.788369E-1
1.512121E+0	-3.718501E+2	-7.437002E+1	-5.622824E-1
1.490909E+0	-3.661094E+2	-7.322188E+1	-5.458358E-1
1.469697E+0	-3.606767E+2	-7.213535E+1	-5.300855E-1
1.448485E+0	-3.550163E+2	-7.100326E+1	-5.142357E-1
1.427273E+0	-3.496568E+2	-6.993135E+1	-4.990555E-1
1.406061E+0	-3.444647E+2	-6.889293E+1	-4.843382E-1
1.384848E+0	-3.383186E+2	-6.766372E+1	-4.685200E-1
1.363636E+0	-3.320053E+2	-6.640106E+1	-4.527345E-1
1.342424E+0	-3.268561E+2	-6.537123E+1	-4.387796E-1
1.321212E+0	-3.210464E+2	-6.420929E+1	-4.241705E-1
1.300000E+0	-3.152555E+2	-6.305110E+1	-4.098322E-1
1.278788E+0	-3.088632E+2	-6.177264E+1	-3.949705E-1
1.257576E+0	-3.025836E+2	-6.051671E+1	-3.805217E-1
1.236364E+0	-2.969174E+2	-5.938348E+1	-3.670979E-1
1.215152E+0	-2.910181E+2	-5.820361E+1	-3.536310E-1
1.193939E+0	-2.849019E+2	-5.698039E+1	-3.401557E-1
1.172727E+0	-2.706844E+2	-5.413689E+1	-3.174390E-1
1.151515E+0	-2.467955E+2	-4.935910E+1	-2.841888E-1
1.130303E+0	-2.431880E+2	-4.863761E+1	-2.748762E-1
