NGPLIV 20250509-153958_A2_1.txt			
V [V]	J [mA/cm2]	I [mA]	P [J/cm2]
1.109091E+0	-2.396625E+2	-4.793249E+1	-2.658074E-1
1.087879E+0	-2.324422E+2	-4.648844E+1	-2.528689E-1
1.066667E+0	-2.292072E+2	-4.584144E+1	-2.444877E-1
1.045455E+0	-2.256746E+2	-4.513492E+1	-2.359325E-1
1.024242E+0	-2.253949E+2	-4.507899E+1	-2.308591E-1
1.003030E+0	-2.204009E+2	-4.408018E+1	-2.210688E-1
9.818182E-1	-2.157688E+2	-4.315377E+1	-2.118458E-1
9.606061E-1	-2.101405E+2	-4.202811E+1	-2.018623E-1
9.393939E-1	-2.065819E+2	-4.131639E+1	-1.940618E-1
9.181818E-1	-2.019335E+2	-4.038671E+1	-1.854117E-1
8.969697E-1	-1.972219E+2	-3.944438E+1	-1.769021E-1
8.757576E-1	-1.923079E+2	-3.846158E+1	-1.684151E-1
8.545455E-1	-1.874869E+2	-3.749737E+1	-1.602160E-1
8.333333E-1	-1.828831E+2	-3.657662E+1	-1.524026E-1
8.121212E-1	-1.782561E+2	-3.565121E+1	-1.447655E-1
7.909091E-1	-1.741770E+2	-3.483539E+1	-1.377581E-1
7.696970E-1	-1.703722E+2	-3.407444E+1	-1.311350E-1
7.484848E-1	-1.659647E+2	-3.319294E+1	-1.242221E-1
7.272727E-1	-1.615628E+2	-3.231257E+1	-1.175003E-1
7.060606E-1	-1.561997E+2	-3.123995E+1	-1.102865E-1
6.848485E-1	-1.505225E+2	-3.010450E+1	-1.030851E-1
6.636364E-1	-1.461043E+2	-2.922086E+1	-9.696013E-2
6.424242E-1	-1.416368E+2	-2.832735E+1	-9.099088E-2
6.212121E-1	-1.369591E+2	-2.739182E+1	-8.508065E-2
6.000000E-1	-1.318120E+2	-2.636241E+1	-7.908723E-2
5.787879E-1	-1.267041E+2	-2.534082E+1	-7.333480E-2
5.575758E-1	-1.218318E+2	-2.436636E+1	-6.793046E-2
5.363636E-1	-1.170811E+2	-2.341623E+1	-6.279807E-2
5.151515E-1	-1.123383E+2	-2.246766E+1	-5.787125E-2
4.939394E-1	-1.076761E+2	-2.153523E+1	-5.318549E-2
4.727273E-1	-1.031286E+2	-2.062573E+1	-4.875173E-2
4.515152E-1	-9.838100E+1	-1.967620E+1	-4.442051E-2
4.303030E-1	-9.360510E+1	-1.872102E+1	-4.027856E-2
4.090909E-1	-8.885380E+1	-1.777076E+1	-3.634928E-2
3.878788E-1	-8.412845E+1	-1.682569E+1	-3.263164E-2
3.666667E-1	-7.915685E+1	-1.583137E+1	-2.902418E-2
3.454545E-1	-7.418790E+1	-1.483758E+1	-2.562855E-2
3.242424E-1	-6.938185E+1	-1.387637E+1	-2.249654E-2
3.030303E-1	-6.476275E+1	-1.295255E+1	-1.962508E-2
2.818182E-1	-6.021550E+1	-1.204310E+1	-1.696982E-2
2.606061E-1	-5.561485E+1	-1.112297E+1	-1.449357E-2
2.393939E-1	-5.096135E+1	-1.019227E+1	-1.219984E-2
2.181818E-1	-4.618179E+1	-9.236358E+0	-1.007603E-2
1.969697E-1	-4.153470E+1	-8.306941E+0	-8.181078E-3
1.757576E-1	-3.697312E+1	-7.394624E+0	-6.498306E-3
1.545455E-1	-3.244850E+1	-6.489700E+0	-5.014768E-3
1.333333E-1	-2.794025E+1	-5.588050E+0	-3.725367E-3
1.121212E-1	-2.343191E+1	-4.686382E+0	-2.627214E-3
9.090909E-2	-1.891756E+1	-3.783512E+0	-1.719778E-3
6.969697E-2	-1.438892E+1	-2.877785E+0	-1.002864E-3
4.848485E-2	-9.899395E+0	-1.979879E+0	-4.799707E-4
2.727273E-2	-5.448365E+0	-1.089673E+0	-1.485918E-4
6.060606E-3	-9.918370E-1	-1.983674E-1	-6.011133E-6
-1.515152E-2	3.461188E+0	6.922376E-1	-5.244224E-5
-3.636364E-2	7.842365E+0	1.568473E+0	-2.851769E-4
-5.757576E-2	1.226726E+1	2.453452E+0	-7.062968E-4
-7.878788E-2	1.669258E+1	3.338516E+0	-1.315173E-3
-1.000000E-1	2.111931E+1	4.223862E+0	-2.111931E-3
*** END of Data

0.2000	Area [cm2]
0.2805	Jsc [mA/cm2]
0.0013	Voc [V]
-16.0435	Fill Factor
-Inf	Efficiency [%]
0.0	Source Irradiance [mW/cm2]
10.0	Voltage Settling Time [ms]
A2_1	Device ID
